Latency (ms), +/- (ms)
17.95, 0.05
35.97, 0.04
25.10, 0.05
21.88, 0.04
49.25, 0.05
47.36, 0.04
17.29, 0.08
13.61, 0.09
12.15, 0.09
16.92, 0.08
16.13, 0.08
30.21, 0.07
47.24, 0.09
12.88, 0.09
19.09, 0.09
19.27, 0.08
17.43, 0.06
35.94, 0.09
35.15, 0.07
27.37, 0.09
22.32, 0.07
36.21, 0.09
21.32, 0.06
16.84, 0.07
23.33, 0.08
23.86, 0.07
15.92, 0.05
28.22, 0.10
44.98, 0.08
50.43, 0.09
26.08, 0.03
39.71, 0.05
27.41, 0.03
34.84, 0.04
16.39, 0.04
55.29, 0.03
22.14, 0.04
11.63, 0.08
10.22, 0.08
60.96, 0.08
19.98, 0.04
19.38, 0.05
39.61, 0.04
26.71, 0.04
37.81, 0.04
28.20, 0.03
19.69, 0.04
30.09, 0.04
41.73, 0.07
10.53, 0.08
26.56, 0.09
15.74, 0.05
14.71, 0.07
21.61, 0.08
19.01, 0.05
28.98, 0.06
19.40, 0.08
22.33, 0.07
13.74, 0.08
36.63, 0.08
28.70, 0.09
62.32, 0.07
13.70, 0.04
33.16, 0.05
33.06, 0.04
59.42, 0.04
17.81, 0.03
14.58, 0.03
11.66, 0.04
20.28, 0.04
38.90, 0.09
10.43, 0.08
14.62, 0.07
24.87, 0.08
39.97, 0.07
22.29, 0.06
10.69, 0.08
39.05, 0.07
24.98, 0.08
13.53, 0.07
11.34, 0.08
19.83, 0.08
13.73, 0.07
16.67, 0.06
12.65, 0.07
20.42, 0.08
14.38, 0.09
17.36, 0.06
49.19, 0.08
60.06, 0.08
9.54, 0.04
29.79, 0.04
45.93, 0.05
25.06, 0.04
12.38, 0.03
24.41, 0.04
12.94, 0.03
20.49, 0.05
21.94, 0.09
37.70, 0.08
