Latency (ms), +/- (ms)
13.17, 0.06
10.60, 0.05
18.44, 0.04
11.50, 0.04
14.83, 0.05
11.40, 0.04
11.32, 0.04
13.84, 0.05
16.50, 0.08
17.49, 0.07
17.04, 0.08
16.62, 0.09
14.36, 0.08
16.79, 0.08
11.87, 0.06
13.89, 0.09
12.68, 0.07
16.22, 0.08
13.67, 0.08
7.54, 0.07
18.40, 0.07
16.03, 0.09
11.88, 0.07
16.97, 0.07
10.36, 0.07
11.27, 0.08
13.03, 0.08
15.84, 0.08
17.66, 0.08
11.84, 0.07
17.76, 0.09
13.00, 0.08
12.01, 0.09
15.33, 0.07
16.16, 0.08
16.85, 0.08
14.51, 0.07
12.04, 0.08
14.39, 0.08
17.64, 0.07
19.45, 0.08
11.09, 0.09
21.01, 0.09
10.98, 0.07
16.08, 0.07
14.51, 0.07
12.67, 0.06
16.86, 0.07
11.43, 0.08
15.11, 0.07
15.86, 0.08
11.13, 0.07
12.97, 0.07
10.59, 0.09
11.90, 0.07
13.47, 0.06
12.15, 0.08
12.68, 0.07
11.29, 0.07
13.71, 0.09
11.32, 0.09
17.68, 0.08
12.93, 0.08
10.38, 0.08
10.54, 0.09
12.52, 0.07
11.26, 0.07
12.78, 0.07
14.36, 0.06
19.98, 0.07
9.63, 0.07
9.43, 0.06
17.55, 0.07
15.34, 0.07
12.25, 0.11
14.37, 0.08
17.80, 0.08
11.35, 0.09
13.37, 0.06
10.08, 0.08
14.10, 0.06
20.12, 0.08
15.53, 0.08
14.48, 0.08
12.14, 0.09
12.87, 0.07
16.03, 0.09
16.85, 0.08
17.67, 0.07
13.51, 0.07
9.06, 0.08
15.19, 0.07
15.98, 0.08
13.59, 0.07
10.56, 0.08
10.65, 0.07
14.96, 0.08
10.47, 0.07
10.34, 0.07
16.89, 0.07
