Latency (ms), +/- (ms)
10.82, 0.05
6.49, 0.09
7.36, 0.09
9.14, 0.07
7.33, 0.06
6.09, 0.08
6.76, 0.09
5.38, 0.08
6.34, 0.08
6.75, 0.08
4.80, 0.07
8.87, 0.07
7.96, 0.10
4.46, 0.09
8.54, 0.06
10.99, 0.08
4.95, 0.08
3.20, 0.08
6.89, 0.08
4.00, 0.11
7.66, 0.08
5.75, 0.07
9.77, 0.07
9.41, 0.07
6.23, 0.08
5.32, 0.07
7.79, 0.07
7.68, 0.06
11.19, 0.06
7.48, 0.07
7.14, 0.07
5.14, 0.10
3.09, 0.08
3.81, 0.07
9.15, 0.07
11.35, 0.07
5.34, 0.08
6.97, 0.07
4.38, 0.07
7.93, 0.08
7.64, 0.08
6.14, 0.07
8.73, 0.08
10.00, 0.07
9.72, 0.05
4.16, 0.07
8.91, 0.06
9.56, 0.08
7.87, 0.07
10.43, 0.08
6.24, 0.08
10.42, 0.09
9.45, 0.07
9.07, 0.07
10.76, 0.07
5.16, 0.06
10.38, 0.07
5.89, 0.07
10.13, 0.07
4.41, 0.05
4.55, 0.07
10.45, 0.07
4.30, 0.07
6.78, 0.07
5.48, 0.09
4.52, 0.08
17.61, 0.10
4.46, 0.07
8.68, 0.07
7.36, 0.07
3.68, 0.07
4.66, 0.06
5.39, 0.07
6.57, 0.08
6.93, 0.07
9.85, 0.07
8.61, 0.08
10.46, 0.09
6.58, 0.08
8.08, 0.08
5.86, 0.07
8.66, 0.07
9.45, 0.08
10.24, 0.08
7.21, 0.07
4.18, 0.11
5.49, 0.07
8.15, 0.08
10.88, 0.08
5.05, 0.08
9.63, 0.07
8.35, 0.10
8.20, 0.07
5.56, 0.06
9.32, 0.08
10.62, 0.06
4.96, 0.09
9.27, 0.07
8.45, 0.07
4.71, 0.07
