Latency (ms), +/- (ms)
10.65, 0.06
9.50, 0.04
9.30, 0.04
3.51, 0.03
9.64, 0.05
9.79, 0.04
7.11, 0.07
6.08, 0.07
4.49, 0.09
5.82, 0.07
9.43, 0.06
8.60, 0.07
5.07, 0.06
9.11, 0.07
5.11, 0.10
11.71, 0.08
4.39, 0.07
7.88, 0.05
5.86, 0.06
5.77, 0.08
8.48, 0.06
10.58, 0.07
8.77, 0.08
4.65, 0.07
11.09, 0.08
1.94, 0.07
8.68, 0.10
11.75, 0.07
8.36, 0.06
8.92, 0.08
4.32, 0.08
8.89, 0.06
6.44, 0.06
5.67, 0.06
6.52, 0.07
5.83, 0.07
10.50, 0.10
11.56, 0.10
4.54, 0.08
5.05, 0.07
6.35, 0.07
10.97, 0.06
8.81, 0.06
8.85, 0.08
10.26, 0.08
7.12, 0.07
9.09, 0.08
7.52, 0.09
6.31, 0.08
4.96, 0.10
5.18, 0.11
5.91, 0.06
8.74, 0.06
6.12, 0.07
8.55, 0.07
4.85, 0.06
10.50, 0.07
8.15, 0.07
9.17, 0.08
9.28, 0.05
7.66, 0.10
10.06, 0.08
9.71, 0.07
9.74, 0.07
5.23, 0.10
6.22, 0.08
7.30, 0.06
6.66, 0.07
6.52, 0.07
8.06, 0.05
9.44, 0.10
4.67, 0.05
5.86, 0.06
3.91, 0.06
3.63, 0.06
5.04, 0.08
5.20, 0.05
6.52, 0.07
10.22, 0.07
11.38, 0.07
7.34, 0.07
4.33, 0.08
10.93, 0.07
7.17, 0.10
6.70, 0.08
9.41, 0.07
8.06, 0.07
9.09, 0.08
2.16, 0.07
7.16, 0.07
4.18, 0.07
10.72, 0.05
7.11, 0.06
6.02, 0.07
10.85, 0.07
10.63, 0.07
8.78, 0.09
7.40, 0.10
4.54, 0.11
7.66, 0.05
